1526.3,266.67,5128.2,-49.323,8.0727
1526.3,266.67,5384.6,-49.377,8.0777
1526.3,266.67,5641,-49.766,8.2673
1526.3,266.67,5897.4,-47.773,6.7236
1526.3,266.67,6153.8,-50.284,8.0196
1526.3,266.67,6410.3,-50.701,7.9751
1526.3,266.67,6666.7,-48.771,6.7192
1526.3,266.67,6923.1,-51.277,7.9413
1526.3,266.67,7179.5,-51.718,7.9044
1526.3,266.67,7435.9,-51.792,7.9152
1526.3,266.67,7692.3,-52.712,7.7342
1526.3,266.67,7948.7,-54.222,6.9478
1526.3,266.67,8205.1,-54.419,6.8882
1526.3,266.67,8461.5,-56.974,6.8923
1526.3,266.67,8717.9,-62.042,6.6427
1526.3,266.67,8974.4,-63.306,6.6024
1526.3,266.67,9230.8,-75.179,7.9933
1526.3,266.67,9487.2,-82.856,9.8667
1526.3,266.67,9743.6,-83.352,9.8756
1526.3,266.67,10000,-83.876,9.642
1526.3,333.33,0,-47.92,5.8929
1526.3,333.33,256.41,-48.153,5.8806
1526.3,333.33,512.82,-48.137,5.868
1526.3,333.33,769.23,-48.371,5.8478
1526.3,333.33,1025.6,-48.087,5.7994
1526.3,333.33,1282.1,-48.064,5.7564
1526.3,333.33,1538.5,-47.117,5.664
1526.3,333.33,1794.9,-47.087,5.6367
1526.3,333.33,2051.3,-46.474,5.5937
1526.3,333.33,2307.7,-46.184,5.4471
1526.3,333.33,2564.1,-46.216,5.5327
1526.3,333.33,2820.5,-45.614,5.3612
1526.3,333.33,3076.9,-45.803,5.8035
1526.3,333.33,3333.3,-45.863,5.78
1526.3,333.33,3589.7,-46.024,5.3808
1526.3,333.33,3846.2,-44.197,5.3676
1526.3,333.33,4102.6,-46.588,5.8969
1526.3,333.33,4359,-46.792,5.8498
1526.3,333.33,4615.4,-45.024,5.3558
1526.3,333.33,4871.8,-47.196,5.4381
1526.3,333.33,5128.2,-47.527,5.8232
1526.3,333.33,5384.6,-47.651,5.8606
1526.3,333.33,5641,-48.066,5.4576
1526.3,333.33,5897.4,-46.415,5.3318
1526.3,333.33,6153.8,-48.524,5.8345
1526.3,333.33,6410.3,-48.886,5.7911
1526.3,333.33,6666.7,-47.455,5.3174
1526.3,333.33,6923.1,-49.539,5.8129
1526.3,333.33,7179.5,-49.927,5.7781
1526.3,333.33,7435.9,-50.047,5.8023
1526.3,333.33,7692.3,-51.202,5.3857
1526.3,333.33,7948.7,-53.059,5.4938
1526.3,333.33,8205.1,-53.451,5.4466
1526.3,333.33,8461.5,-55.639,5.2422
1526.3,333.33,8717.9,-60.639,5.259
1526.3,333.33,8974.4,-62.368,5.7942
1526.3,333.33,9230.8,-73.289,5.9142
1526.3,333.33,9487.2,-80.805,6.8211
1526.3,333.33,9743.6,-81.269,6.7852
1526.3,333.33,10000,-81.921,6.7127
1526.3,400,0,-47.349,5.3542
1526.3,400,256.41,-47.576,5.3373
1526.3,400,512.82,-47.57,5.3352
1526.3,400,769.23,-47.805,5.3184
1526.3,400,1025.6,-47.534,5.2864
1526.3,400,1282.1,-47.559,5.2837
1526.3,400,1538.5,-46.763,5.3301
1526.3,400,1794.9,-46.732,5.2995
1526.3,400,2051.3,-46.225,5.3632
1526.3,400,2307.7,-45.538,4.7675
1526.3,400,2564.1,-45.368,4.6029
1526.3,400,2820.5,-43.802,2.9763
1526.3,400,3076.9,-43.326,2.4473
1526.3,400,3333.3,-43.362,2.4346
1526.3,400,3589.7,-43.561,2.353
1526.3,400,3846.2,-43.565,3.555
1526.3,400,4102.6,-44.09,2.436
1526.3,400,4359,-44.442,2.4461
1526.3,400,4615.4,-44.288,3.4459
1526.3,400,4871.8,-44.715,2.3284
1526.3,400,5128.2,-45.288,2.4433
1526.3,400,5384.6,-45.335,2.4297
1526.3,400,5641,-45.605,2.3295
1526.3,400,5897.4,-45.565,3.3132
1526.3,400,6153.8,-46.29,2.4456
1526.3,400,6410.3,-46.75,2.4722
1526.3,400,6666.7,-46.558,3.2531
1526.3,400,6923.1,-47.358,2.4802
1526.3,400,7179.5,-47.827,2.4971
1526.3,400,7435.9,-47.889,2.4849
1526.3,400,7692.3,-49.32,2.9217
1526.3,400,7948.7,-52.824,5.7502
1526.3,400,8205.1,-53.059,5.7639
1526.3,400,8461.5,-55.766,5.385
1526.3,400,8717.9,-60.763,5.4717
1526.3,400,8974.4,-62.152,5.5358
1526.3,400,9230.8,-73.684,6.3579
1526.3,400,9487.2,-90.115,15.865
1526.3,400,9743.6,-90.48,15.776
1526.3,400,10000,-90.8,15.378
1621.1,200,0,-49.957,6.9822
1621.1,200,256.41,-50.185,6.9617
1621.1,200,512.82,-50.174,6.9525
1621.1,200,769.23,-50.406,6.9283
1621.1,200,1025.6,-50.103,6.8592
1621.1,200,1282.1,-50.106,6.8369
1621.1,200,1538.5,-49.273,6.8446
1621.1,200,1794.9,-49.215,6.7844
1621.1,200,2051.3,-48.731,6.8731
1621.1,200,2307.7,-47.822,6.0397
1621.1,200,2564.1,-47.653,5.883
1621.1,200,2820.5,-45.99,4.3929
1621.1,200,3076.9,-45.4,3.78
1621.1,200,3333.3,-45.444,3.7624
1621.1,200,3589.7,-45.693,3.7112
1621.1,200,3846.2,-46.056,5.4038
1621.1,200,4102.6,-46.16,3.8058
1621.1,200,4359,-46.497,3.8363
1621.1,200,4615.4,-46.769,5.274
1621.1,200,4871.8,-46.799,3.634
1621.1,200,5128.2,-47.327,3.8511
1621.1,200,5384.6,-47.381,3.8354
1621.1,200,5641,-47.664,3.6033
1621.1,200,5897.4,-48.042,5.1207
1621.1,200,6153.8,-48.322,3.8498
1621.1,200,6410.3,-48.771,3.8713
1621.1,200,6666.7,-49.037,5.0531
1621.1,200,6923.1,-49.391,3.8776
1621.1,200,7179.5,-49.848,3.8882
1621.1,200,7435.9,-49.921,3.8796
1621.1,200,7692.3,-51.493,4.2478
1621.1,200,7948.7,-54.316,5.6412
1621.1,200,8205.1,-54.927,6.4745
1621.1,200,8461.5,-58.307,6.9011
1621.1,200,8717.9,-63.314,7.0492
1621.1,200,8974.4,-64.899,7.3261
1621.1,200,9230.8,-76.44,8.4781
1621.1,200,9487.2,-81.787,8.5952
1621.1,200,9743.6,-82.292,8.6078
1621.1,200,10000,-82.927,8.5137
1621.1,266.67,0,-49.814,6.8324
1621.1,266.67,256.41,-50.027,6.7965
1621.1,266.67,512.82,-50.019,6.7905
1621.1,266.67,769.23,-50.238,6.7517
1621.1,266.67,1025.6,-49.943,6.6789
1621.1,266.67,1282.1,-49.98,6.692
1621.1,266.67,1538.5,-49.226,6.7614
1621.1,266.67,1794.9,-49.184,6.7209
1621.1,266.67,2051.3,-48.686,6.8213
1621.1,266.67,2307.7,-48.427,7.1228
1621.1,266.67,2564.1,-48.434,7.2162
1621.1,266.67,2820.5,-48.335,8.148
1621.1,266.67,3076.9,-48.568,8.4628
1621.1,266.67,3333.3,-48.608,8.4639
1621.1,266.67,3589.7,-48.768,8.5129
1621.1,266.67,3846.2,-46.796,6.9643
1621.1,266.67,4102.6,-49.329,8.4649
1621.1,266.67,4359,-49.672,8.4565
1621.1,266.67,4615.4,-47.58,7.0301
1621.1,266.67,4871.8,-50.02,8.5996
1621.1,266.67,5128.2,-50.504,8.4273
1621.1,266.67,5384.6,-50.558,8.4319
1621.1,266.67,5641,-50.949,8.6237
1621.1,266.67,5897.4,-48.918,7.0827
1621.1,266.67,6153.8,-51.476,8.3785
1621.1,266.67,6410.3,-51.899,8.3365
1621.1,266.67,6666.7,-49.93,7.0869
1621.1,266.67,6923.1,-52.481,8.3047
1621.1,266.67,7179.5,-52.927,8.2702
1621.1,266.67,7435.9,-53.001,8.2807
1621.1,266.67,7692.3,-53.926,8.1061
1621.1,266.67,7948.7,-55.444,7.2972
1621.1,266.67,8205.1,-55.64,7.2377
1621.1,266.67,8461.5,-57.997,6.6322
1621.1,266.67,8717.9,-63.268,7.0093
1621.1,266.67,8974.4,-64.54,6.9536
1621.1,266.67,9230.8,-76.417,8.4211
1621.1,266.67,9487.2,-84.2,10.73
1621.1,266.67,9743.6,-84.708,10.755
1621.1,266.67,10000,-85.235,10.548
1621.1,333.33,0,-49.118,6.2064
1621.1,333.33,256.41,-49.347,6.1891
1621.1,333.33,512.82,-49.34,6.1856
1621.1,333.33,769.23,-49.576,6.1661
1621.1,333.33,1025.6,-49.291,6.1191
1621.1,333.33,1282.1,-49.31,6.1119
1621.1,333.33,1538.5,-48.505,6.1497
1621.1,333.33,1794.9,-48.467,6.1087
1621.1,333.33,2051.3,-47.951,6.1386
1621.1,333.33,2307.7,-47.206,5.5093
1621.1,333.33,2564.1,-47.034,5.3462
